date,day_num,barrage_count,barrage_count_min,barrage_count_max,locations,hits_confirmed,casualties_notes,sources,notes
2026-02-28,1,44,40,50,"All regions: north; TLV/center; south; Jerusalem",4,"Multiple impact sites; massive opening salvo","ALMA;JINSA_MAR5_PDF;ALMA_PATTERNS","Alma 44 waves (confirmed from Mar13-14 infographic). Walla: sirens in every region. JINSA global=438; Israel-specific est=50 (BBC-proportioned)/max=73 (JINSA direct). 4 all-projectile hits (Chart 4). ⚠ Perplexity misreads 428 as Israel-specific — global total, rejected."
2026-03-01,2,55,50,60,"All regions; peak barrage day",3,"Multiple hits including cluster munitions","ALMA;JINSA_MAR5_PDF;ALMA_PATTERNS","Alma 55 waves (confirmed — peak day). Walla: '62 barrages on Mar1 alone'. JINSA global=161; Israel est=39/max=57. 3 all-projectile hits (Chart 4)."
2026-03-02,3,16,14,18,"North; center; south",1,"","ALMA;JINSA_MAR5_PDF","Alma 16 waves (confirmed from Mar13-14 infographic; old value 2 was wrong). JINSA global=138; Israel est=19/max=28. 1 hit (Chart 4). Large siren footprint despite declining intensity."
2026-03-03,4,10,9,11,"Multiple regions",2,"","ALMA;JINSA_MAR5_PDF","Alma 10 waves (confirmed). JINSA global=68; Israel est=14/max=20. 2 hits (Chart 4). Multiple regional alerts."
2026-03-04,5,10,9,11,"Multiple regions (reduced)",2,"","ALMA;JINSA_MAR5_PDF;BBC_ARABIC","Alma 10 waves (confirmed). JINSA global=39; Israel est=6/max=9. 2 hits. Cumul=~128 BM anchor confirmed. Mostly isolated barrages and interceptions."
2026-03-05,6,11,10,12,"Central and southern Israel",1,"","ALMA;JINSA_MAR24_PDF","Alma 11 waves (confirmed). JINSA global=38; UAE=0 from this day. Multiple siren cycles in center/south; moderate damage. 1 hit (Chart 4)."
2026-03-06,7,7,6,8,"Center; south (slightly reduced)",1,"","ALMA;JINSA_MAR24_PDF","Alma 7 waves (confirmed). JINSA global=46. ISW/AP: 'slightly reduced intensity; attention shifting to US/IL strikes in Iran'. 1 hit."
2026-03-07,8,12,11,13,"Central and northern Israel",1,"","ALMA;JINSA_MAR24_PDF","Alma 12 waves (confirmed). JINSA global=57. ISW/AP: 'heavy siren activity; several hits across central and northern Israel'. 1 hit (Chart 4)."
2026-03-08,9,9,8,10,"Multiple areas; cluster warhead day",2,"Cluster warhead casualties (~50% cluster confirmed from this date)","ALMA;FDD;JINSA_MAR24_PDF","Alma 9 waves (confirmed). JINSA global=46. ~50% cluster warheads confirmed from FDD. 2 hits (Chart 4)."
2026-03-09,10,13,12,14,"Widespread; south and center",1,"2 killed by cluster BM (observed floor)","FDD;ALMA;JINSA_MAR24_PDF","Alma 13 waves (confirmed — peak of Mar5-9 block). JINSA global=43. ISW: by ~Mar9 nearly 300 missiles fired at Israel; cluster submunitions widespread. Min 2 BM from casualties (observed floor). 1 hit (Chart 4). Cumul approaching ~300."
2026-03-10,11,9,8,10,"Central Israel; south",1,"","JINSA_MAR11_PDF;ALMA","Alma 9 waves. JINSA global=29. Cumul=~300 BM at Israel confirmed. 1 all-projectile hit (Chart 4)."
2026-03-11,12,11,10,12,"Multiple areas",5,"","ALMA","Alma 11 waves. Chart 4 shows ~5-6 hits but likely drone-dominated period."
2026-03-12,13,10,9,11,"Multiple areas",4,"","ALMA","Alma 10 waves. ISW notes Iranian attacks dispersed across Israel and Gulf."
