date,day_num,search_round,period_searched,bm_il_min,bm_il_max,bm_il_est,accepted,rejection_reason,notes
2026-02-28,1,R14_phase1,Feb28-Mar9,,,428,rejected,GLOBAL_MISREAD,"WRONG: 428 is the global total (all targets), not Israel-specific. Perplexity read the wrong column from JINSA early-war table. Recurring error — also flagged in Round 10."
2026-02-28,1,R14_phase1_new,Feb28-Mar9,,,200,contested,CONFLICTS_WITH_128_ANCHOR,"NEW READING: Perplexity claims JINSA Mar5 PDF has a separate 'against Israel' column showing 200 on Day 1. CSIS supports 'roughly half' of 438 = ~219 at Israel. BUT conflicts with BBC/IDF 128 cumulative anchor for 5 days, and with earlier Perplexity reading of 73 from same PDF. See conflicts.md."
2026-03-01,2,R14_phase1_new,Feb28-Mar9,,,105,contested,CONFLICTS_WITH_128_ANCHOR,"See conflicts.md Phase I conflict. Consistent with CSIS narrative but conflicts with 5-day cumul anchor."
2026-03-02,3,R14_phase1_new,Feb28-Mar9,,,68,contested,CONFLICTS_WITH_128_ANCHOR,See conflicts.md Phase I conflict.
2026-03-03,4,R14_phase1_new,Feb28-Mar9,,,37,contested,CONFLICTS_WITH_128_ANCHOR,See conflicts.md Phase I conflict.
2026-03-04,5,R14_phase1_new,Feb28-Mar9,,,20,contested,CONFLICTS_WITH_128_ANCHOR,See conflicts.md Phase I conflict.
2026-03-05,6,R14_phase1,Feb28-Mar9,30,40,35,partial,"EST_METHOD_DIFF","Perplexity used 5-day block (Mar5-9, 52 waves), our method uses 6-day block (Mar5-10, 61 waves). Est=35 for 5-day block vs our est=31 for Mar5. Higher because Perplexity excludes Mar10 from block. Both methods self-consistent."
2026-03-06,7,R14_phase1,Feb28-Mar9,,,,partial,,"Included in Mar5-9 block estimate only; no day-specific figure."
2026-03-07,8,R14_phase1,Feb28-Mar9,,,,partial,,"Included in Mar5-9 block estimate only; no day-specific figure."
2026-03-08,9,R14_phase1,Feb28-Mar9,,,,partial,,"Included in Mar5-9 block estimate only; no day-specific figure."
2026-03-09,10,R14_phase1,Feb28-Mar9,,,,partial,,"Included in Mar5-9 block estimate only; no day-specific figure."
2026-03-10,11,R13_mar1019,Mar10-19,,,30,rejected,PHYSICALLY_IMPOSSIBLE,"est=30 exceeds global count of 29 BMs on Mar10. derived_max=22 is a binding hard ceiling (global 29 - UAE 7 = 22). Physically impossible."
2026-03-11,12,R13_mar1019,Mar10-19,5,10,8,rejected,FLAWED_LOGIC_290_ANCHOR,"Perplexity treated '>290' anchor at Mar15 as approximately equal to 300 (same as Mar10 cumul), inferring near-zero increment for Mar11-16. This is the same logical error as the original near-zero estimates that were corrected."
2026-03-12,13,R13_mar1019,Mar10-19,5,10,8,rejected,FLAWED_LOGIC_290_ANCHOR,Same '>290≈300' flaw as Mar11.
2026-03-13,14,R13_mar1019,Mar10-19,5,10,7,rejected,FLAWED_LOGIC_290_ANCHOR,Same '>290≈300' flaw as Mar11.
2026-03-14,15,R13_mar1019,Mar10-19,4,8,6,rejected,FLAWED_LOGIC_290_ANCHOR,Same '>290≈300' flaw as Mar11.
2026-03-15,16,R13_mar1019,Mar10-19,4,8,6,rejected,FLAWED_LOGIC_290_ANCHOR,Same '>290≈300' flaw as Mar11.
2026-03-16,17,R13_mar1019,Mar10-19,4,8,5,rejected,FLAWED_LOGIC_290_ANCHOR,Same '>290≈300' flaw as Mar11.
2026-03-17,18,R13_mar1019,Mar10-19,6,12,9,accepted_partial,,"Est=8-9 (range 6-12). Consistent with lower end of our wave-ratio range 2-15. No specific conflict."
2026-03-18,19,R13_mar1019,Mar10-19,13,17,15,accepted,CONFIRMS_PRIMARY,"Confirms our JINSA Chart 2 reading of est=15 ✓."
2026-03-19,20,R13_mar1019,Mar10-19,16,20,18,accepted,CONFIRMS_PRIMARY,"Confirms our JINSA Chart 2 reading of est=18 ✓."
2026-03-20,21,R12_mar2026,Mar20-26,10,14,12,accepted,CONFIRMS_PRIMARY,"Consistent with JINSA Chart 2 reading."
2026-03-21,22,R12_mar2026,Mar20-26,,,15,rejected,CASUALTY_INFERENCE_ERROR,"est=15 inferred from Arad 64-casualty event. Cluster munitions from ≤3 BMs explain mass casualties. JINSA Chart 2 direct reading = 8 BM retained."
2026-03-22,23,R12_mar2026,Mar20-26,8,12,10,rejected,CHART_READING_CONFLICT,"Perplexity est=10 conflicts with JINSA Chart 2 direct reading of 13. Chart 2 direct > inference-based estimate."
2026-03-23,24,R12_mar2026,Mar20-26,,,5,rejected,WRONG_PROXY,"est=5 used 15% all-attack-type share as BM-only proxy. Incorrect: 15% is all types (BM+drones). JINSA Chart 2 direct reading = 8 retained."
2026-03-24,25,R12_mar2026,Mar20-26,10,15,12,accepted_partial,EXCEEDS_DERIVED_MAX,"Range consistent but est=12 exceeds derived_max=11. JINSA derived_max constraint retained; Chart 2 reading of ~10 used."
2026-03-25,26,R12_mar2026,Mar20-26,8,12,10,accepted_partial,BELOW_REVISED_EST,"R12 est=10 consistent with JINSA ~10-15/day text. Our revised est=15 (alma_waves=20 spike, ceiling=21) is higher — R12 used Statista wave count of 9, which undercounts. R12 range 8-12 is below revised ceiling."
2026-03-26,27,R12_mar2026,Mar20-26,8,12,10,accepted,CONFIRMS_PRIMARY,"Consistent with our est=10."
2026-03-27,28,R11_mar2728,Mar27-28,9,12,10,accepted,CONFIRMS_PRIMARY,"Media siren count: 5-6 distinct barrage cycles. Consistent with JINSA global constraint (max=11). est=10 retained."
2026-03-28,29,R11_mar2728,Mar27-28,2,4,3,accepted,CONFIRMS_PRIMARY,"Small salvo from IDF confirmed plural missiles. est=3."
2026-02-28,1,R15_full_war,Feb28-Mar28,180,220,200,contested,CONFLICTS_WITH_128_ANCHOR+INTERNAL_INCONSISTENCY,"Same as R14_phase1_new. CSIS supports 'roughly half of 438' at Israel. Conflicts with BBC/IDF 128 cumulative anchor. ADDITIONALLY: R15 Phase I cumul=430 + R15 Mar5-9 cumul=169 = 599 by Mar9, which contradicts Perplexity's OWN statement 'anchors put total at ~300 by Mar10'. Phase I and Mar5-9 were assembled from different anchor assumptions and never cross-checked internally."
2026-03-01,2,R15_full_war,Feb28-Mar28,90,120,105,contested,CONFLICTS_WITH_128_ANCHOR+INTERNAL_INCONSISTENCY,Same Phase I conflict as Feb28 R15. See conflicts.md CONFLICT-1.
2026-03-02,3,R15_full_war,Feb28-Mar28,60,75,68,contested,CONFLICTS_WITH_128_ANCHOR+INTERNAL_INCONSISTENCY,Same Phase I conflict. See conflicts.md CONFLICT-1.
2026-03-03,4,R15_full_war,Feb28-Mar28,30,45,37,contested,CONFLICTS_WITH_128_ANCHOR+INTERNAL_INCONSISTENCY,Same Phase I conflict. See conflicts.md CONFLICT-1.
2026-03-04,5,R15_full_war,Feb28-Mar28,15,25,20,contested,CONFLICTS_WITH_128_ANCHOR+INTERNAL_INCONSISTENCY,Same Phase I conflict. See conflicts.md CONFLICT-1.
2026-03-05,6,R15_full_war,Feb28-Mar28,30,40,35,accepted_partial,INTERNAL_INCONSISTENCY,"R15 range 30-40 largely overlaps our 25-37. BUT: if Phase I=430, Mar5-9 block must be near-zero or negative to reach Mar10 anchor of ~300 — Perplexity's own numbers are inconsistent. R15 Mar5-9 sum=169 was likely computed assuming BBC Phase I anchor (~128), not their own 430."
2026-03-06,7,R15_full_war,Feb28-Mar28,18,26,22,accepted_partial,INTERNAL_INCONSISTENCY,"R15 range 18-26 overlaps our 16-24. Same internal inconsistency note as Mar5."
2026-03-07,8,R15_full_war,Feb28-Mar28,35,45,40,accepted_partial,INTERNAL_INCONSISTENCY,"R15 est=40 vs our est=34; ranges overlap. R15 slightly higher — consistent with wave-count (12 waves). Same internal inconsistency note."
2026-03-08,9,R15_full_war,Feb28-Mar28,24,34,29,accepted_partial,INTERNAL_INCONSISTENCY,"R15 est=29 vs our est=25; ranges overlap. Same internal inconsistency note."
2026-03-09,10,R15_full_war,Feb28-Mar28,38,48,43,accepted_partial,INTERNAL_INCONSISTENCY,"R15 est=43 vs our est=37; R15 range 38-48 vs our 2-43. Consistent direction. Same internal inconsistency note."
2026-03-10,11,R15_full_war,Feb28-Mar28,25,35,30,rejected,PHYSICALLY_IMPOSSIBLE,"est=30 STILL exceeds global=29 BMs on Mar10. derived_max=22 is binding. Same physical impossibility as R13. Third time flagged."
2026-03-11,12,R15_full_war,Feb28-Mar28,5,10,8,rejected,FLAWED_LOGIC_290_ANCHOR,"Same flawed INSS '>290 BMs by Mar15 ≈ 300 = flat from Mar10' inference. Gives near-zero increment Mar11-15. Our wave-ratio (alma_waves × 1.11) retained."
2026-03-12,13,R15_full_war,Feb28-Mar28,4,8,6,rejected,FLAWED_LOGIC_290_ANCHOR,Same as Mar11 R15.
2026-03-13,14,R15_full_war,Feb28-Mar28,4,8,6,rejected,FLAWED_LOGIC_290_ANCHOR,Same as Mar11 R15.
2026-03-14,15,R15_full_war,Feb28-Mar28,3,6,4,rejected,FLAWED_LOGIC_290_ANCHOR,Same as Mar11 R15.
2026-03-15,16,R15_full_war,Feb28-Mar28,1,5,3,rejected,FLAWED_LOGIC_290_ANCHOR,"R15 est=3 is the most extreme expression of the '>290≈300' flaw. Our wave-ratio est=11 retained."
2026-03-16,17,R15_full_war,Feb28-Mar28,4,8,6,rejected,FLAWED_LOGIC_290_ANCHOR,"R15 est=6 vs our est=13 (wave-ratio). R15 still suppressed by flawed 290-anchor logic."
2026-03-17,18,R15_full_war,Feb28-Mar28,6,12,9,accepted_partial,,"R15 range 6-12 within our wave-ratio range 2-15. R15 confirms Hebron fatal hit on Mar17 via ToI source [19] cited alongside Mar17 Alma report — RESOLVES CONFLICT-2 in favor of Mar17."
2026-03-18,19,R15_full_war,Feb28-Mar28,13,17,15,accepted,CONFIRMS_PRIMARY,Exact match with JINSA Chart 2 direct reading. Third confirmation.
2026-03-19,20,R15_full_war,Feb28-Mar28,16,20,18,accepted,CONFIRMS_PRIMARY,Exact match with JINSA Chart 2 direct reading. Third confirmation.
2026-03-20,21,R15_full_war,Feb28-Mar28,8,12,10,accepted_partial,,"R15 est=10 vs our est=12. Slightly lower. Within acceptable range. R15 range 8-12 overlaps our 10-14."
2026-03-21,22,R15_full_war,Feb28-Mar28,12,18,15,rejected,CASUALTY_INFERENCE_ERROR,"R15 est=15 inferred from Arad 64-casualty event. Same error as R12: cluster munitions from ≤3 BMs explain mass casualties at Arad. JINSA Chart 2 direct reading = 8 retained."
2026-03-22,23,R15_full_war,Feb28-Mar28,8,12,10,rejected,CHART_READING_CONFLICT,"R15 est=10 vs JINSA Chart 2 direct=13. Same conflict as R12. Chart 2 direct retained."
2026-03-23,24,R15_full_war,Feb28-Mar28,4,7,5,rejected,WRONG_PROXY,"R15 est=5 again uses all-attack-type share as BM proxy. JINSA Chart 2 direct=8 retained."
2026-03-24,25,R15_full_war,Feb28-Mar28,10,15,12,accepted_partial,EXCEEDS_DERIVED_MAX,"R15 est=12 exceeds derived_max=11. Range consistent otherwise. JINSA constraint retained at est=10."
2026-03-25,26,R15_full_war,Feb28-Mar28,8,12,10,accepted_partial,BELOW_REVISED_EST,"R15 est=10 matched our old est=10, but alma_waves=20 spike (derived from anchors) now implies est=15, ceiling=21. R15 used Statista count of 9 waves (severe undercount). Range 8-12 is below revised estimate."
2026-03-26,27,R15_full_war,Feb28-Mar28,8,14,11,accepted,CONFIRMS_PRIMARY,"R15 est=11 vs our est=10; within range. Consistent."
2026-03-27,28,R15_full_war,Feb28-Mar28,9,12,10,accepted,CONFIRMS_PRIMARY,R15 est=10 matches our est=10.
2026-03-28,29,R15_full_war,Feb28-Mar28,5,7,6,contested,HIGHER_THAN_PRIMARY,"R15 est=6 vs our est=3. R15 cites 12 injured west of Jerusalem (Beit Shemesh area — consistent with our Jerusalem-area hit) and Eilat impact. Eilat appears to be the Houthi missile (already excluded from our count per scope). IDF live page confirms 'small salvo'. Our est=3 retained; Perplexity range 5-7 not supported by IDF characterization of volume."
