source_id,name,tier,type,country,url,data_provided,dates_covered,access_status,notes
JINSA,Jewish Institute for National Security of America,1,statistical_org,US,https://jinsa.org,"global BM launch counts; launcher/MRBM/SRBM attrition; Mar 24-26 per-day data","Feb 28 - Mar 26",fetched_and_perplexity,"CRITICAL: JINSA counts are GLOBAL (all targets), not Israel-only. Mar 5 PDF has MRBM/SRBM breakdown. Mar 26 update: 1625 BMs globally."
JINSA_MAR5_PDF,JINSA - Iran's Missile Firepower Has Almost Run Out,1,statistical_org,US,https://jinsa.org/wp-content/uploads/2026/03/Irans-Firepower-2026-03-05-1.pdf,"Table 1: direct per-day Israel BM counts Days 1-5 (73/57/28/20/9=187 total); Table 2: launcher/MRBM/SRBM inventory; expected fire forecast chart","Feb 28 - Mar 5",pdf_direct,"CRITICAL: Table gives FIRST direct per-day Israel BM series for Phase I. ⚠ CONFLICT: 5-day Israel total=187 vs BBC/IDF anchor=~128. JINSA Mar5 preliminary global counts overcounted vs Mar24 final (Day3: 186→138; Day4: 108→68 global) — Israel-specific likely also overcounted ~20-35%. Inventory: Launchers=400→75% lost→est 70 by Mar7; MRBM=~2000→47-73% lost→est 40-340 by Mar7; SRBM=6000-8000→23-52% lost→est 2620-5120 by Mar7. Text: 88% drop against Israel; 90% total decline. 2025 Rising Lion comparison: Day2=200,Day3=105,Day4=68,Day5=37 BMs."
JINSA_MAR11_PDF,JINSA - Operations Epic Fury and Roaring Lion 3/11/26 Update,1,statistical_org,US,https://jinsa.org/wp-content/uploads/2026/03/Operations-Epic-Fury-and-Roaring-Lion-03-11-26.pdf,"cumulative BM at Israel by Mar 10; salvo patterns; cluster munition data","Mar 10-11",available_via_perplexity,"Key: IDF stated Mar 10 that ~300 BM launched at Israel total. ~half contained cluster warheads. At least 5 salvos since midnight Mar 11."
JINSA_MAR24_PDF,JINSA - Operations Epic Fury and Roaring Lion 3/24/26 Update,1,statistical_org,US,https://jinsa.org/wp-content/uploads/2026/03/Operations-Epic-Fury-and-Roaring-Lion-03.24.26.pdf,"Chart 1: global daily BM Feb28-Mar24 (total=1556); Chart 2: absolute Israel+country BM stacked Mar18-24; Chart 3: % target share by country Feb28-Mar24; Chart 4: projectile hits by country Feb28-Mar24","Feb 28 - Mar 24",analyzed_via_charts,"4 key charts analyzed: (1) Global daily BM per day — fills bm_global for all days. (2) Absolute BM per country Mar18-24 — direct Israel BM readings. (3) % share all attack types Feb28-Mar24 — israel_all_attacks_share for all days. (4) Projectile hits (all types) by country — Israel daily hits. UAE: 4 BM Mar22, 7 BM Mar23. Bahrain: 2 BM Mar23, 7 BM Mar24. Kuwait: 17 BM Mar24 (new escalation). Mar 24 global=40 in weekly chart vs 46 final daily count — mid-day vs end-of-day difference."
ALMA_PATTERNS,Alma - Patterns of Iranian Attacks Feb 28 - Mar 11 2026,3,research_institute,IL,https://israel-alma.org/patterns-of-iranian-attacks-against-israel-in-operation-roar-of-the-lion-february-28-march-11-2026/,"detailed attack wave patterns; geographic distribution; weapon type breakdown","Feb 28 - Mar 11",available_via_perplexity,"Alma analytical piece covering opening 2 weeks. Source for Statista barrage series. Wave definition confirmed = grouped launches in short time window."
ISW_MAR24,ISW - Iran Update Special Report March 24 2026,1,statistical_org,US,https://understandingwar.org/research/middle-east/iran-update-special-report-march-24-2026/,"UAE target data: 17 drones + 5 BM at UAE on Mar 24; tactical analysis","Mar 24",available_via_perplexity,"UAE BM=5 on Mar 24 (from UAE MoD via ISW). Consistent with JINSA Gulf split data."
FDD,Foundation for Defense of Democracies,1,statistical_org,US,https://www.fdd.org,"Israel-specific cumulative BM totals; cluster munition analysis","Feb 28 - Mar 16",fetched,">290 BMs at Israel by Mar 15 (BM-only, INSS-sourced). 50% cluster by Mar 10. 7600+ Israeli strikes in 13 days."
INSS,Institute for National Security Studies,1,research_institute,IL,https://www.inss.org.il,"analytical wave counts (Iran→Israel only, BM+UAV combined); cumulative BM totals","Feb 28 - Mar 15",cited_via_fdd,"227 Iran→Israel waves Feb 28-Mar 15. Explicitly includes >290 BMs + ~500 drones. Wave = analytical grouping, not individual missile."
ISW,Institute for the Study of War (Critical Threats),1,statistical_org,US,https://www.criticalthreats.org,"daily operational updates; narrative strike data","Mar 19; Mar 23; Mar 24; Mar 25; Mar 27",available_via_perplexity,"Site blocked direct fetch (403). Reports available via Perplexity. Daily series Mar 19-27 confirmed."
ISW_UW,Institute for the Study of War (understandingwar.org),1,statistical_org,US,https://understandingwar.org/research/middle-east/,"special reports; CENTCOM strike data","Mar 19; Mar 23; Mar 24",available_via_perplexity,"Special reports: Mar 19 (8000+ US sorties), Mar 23, Mar 24 confirmed available."
