date,day_num,alma_waves_daily,alma_waves_cumul,data_quality,source_report_id,notes
2026-02-28,1,44,44,direct,ALMA_MAR13_14_INFOGRAPHIC,"Confirmed: 44 waves. Bar chart from Mar13-14 infographic. Previous value of 25 was incorrect."
2026-03-01,2,55,99,direct,ALMA_MAR13_14_INFOGRAPHIC,"Confirmed: 55 waves (peak day). Previous value of 62 was incorrect."
2026-03-02,3,16,115,direct,ALMA_MAR13_14_INFOGRAPHIC,"Confirmed: 16 waves. Previous value of 2 was incorrect."
2026-03-03,4,10,125,direct,ALMA_MAR13_14_INFOGRAPHIC,Confirmed: 10 waves. Previous value of 24 was incorrect.
2026-03-04,5,10,135,direct,ALMA_MAR13_14_INFOGRAPHIC,Confirmed: 10 waves. Previous value of 7 was incorrect.
2026-03-05,6,11,146,direct,ALMA_MAR13_14_INFOGRAPHIC,Confirmed: 11 waves. Previous value of 9 was incorrect.
2026-03-06,7,7,153,direct,ALMA_MAR13_14_INFOGRAPHIC,Confirmed: 7 waves (unchanged).
2026-03-07,8,12,165,direct,ALMA_MAR13_14_INFOGRAPHIC,"Confirmed: 12 waves. cumul=165 matches stated Alma anchor. Previous value of 7 was incorrect."
2026-03-08,9,9,174,direct,ALMA_MAR13_14_INFOGRAPHIC,Confirmed: 9 waves (unchanged).
2026-03-09,10,13,187,direct,ALMA_MAR13_14_INFOGRAPHIC,"Confirmed: 13 waves. cumul=187 (old stated anchor=186 — 1-wave discrepancy; infographic trusted as it sums to 235 at Mar14)."
2026-03-10,11,9,196,direct,ALMA_MAR13_14_INFOGRAPHIC,cumul=196. Consistent with confirmed series.
2026-03-11,12,11,207,direct,ALMA_MAR13_14_INFOGRAPHIC,cumul=207. Consistent: 187+9+11=207.
2026-03-12,13,10,217,direct,ALMA_MAR13_14_INFOGRAPHIC,"Confirmed: 10 waves. cumul=217."
2026-03-13,14,11,228,direct,ALMA_MAR13_14_INFOGRAPHIC,Confirmed: 11 waves. cumul=228.
2026-03-14,15,7,235,direct,ALMA_MAR13_14_INFOGRAPHIC,"Confirmed: 7 waves. ANCHOR: cumul=235 explicitly stated ('Total Attack Waves Since War Began: 235')."
2026-03-15,16,10,245,direct,ALMA_MAR16_1800,cumul=245 (235+10=245).
2026-03-16,17,12,257,direct,ALMA_MAR17_1600,cumul=257 (245+12=257).
2026-03-17,18,11,268,direct,ALMA_MAR18_1800,cumul=268 (257+11=268).
2026-03-18,19,13,281,direct,ALMA,cumul=281 (268+13=281).
2026-03-19,20,19,300,direct,ALMA_MAR20_1600,"Spike day. cumul=300 (281+19=300). Geographic: TLV=31.6%; North=31.6%; Jerusalem=26.3%; South=10.5%."
2026-03-20,21,18,,direct,ALMA_MAR29_BARPLOT,"Daily=18 from bar chart (Mar29 weekend update plot). Previous value 13 was from Statista — undercount confirmed."
2026-03-21,22,11,329,direct,ALMA_MAR29_BARPLOT,"Daily=11 from bar chart. cumul=329 CONFIRMED anchor (Alma Mar22 18:00). Bar value overrides prior Statista-based estimate of 8. ANCHOR CONFLICT: cumuls do not chain cleanly in this period — use stated anchors only."
2026-03-22,23,8,,direct,ALMA_MAR23_1800,"Daily=8 confirmed (unchanged). Intermediate cumul inconsistent — do not use."
2026-03-23,24,7,,direct,ALMA_MAR24_1600,"Daily=7 confirmed (unchanged). Intermediate cumul inconsistent — do not use."
2026-03-24,25,13,346,direct,ALMA_MAR29_BARPLOT,"Daily=13 from bar chart. cumul=346 CONFIRMED anchor. Previous value 9 was incorrect."
2026-03-25,26,9,,direct,ALMA_MAR29_BARPLOT,"Daily=9 from bar chart. Previous value 20 was derived from anchor math (377-346-11=20); direct reading overrides. cumul=346+9=355 but Day27 anchor=377 — 13-wave gap over two days noted; anchor conflict consistent with known Alma cumul issues."
2026-03-26,27,11,377,direct,ALMA_MAR26,"cumul=377 CONFIRMED. Mar26=11 confirmed."
2026-03-27,28,9,386,direct,ALMA_MAR29_WEEKEND,"Daily=9 from bar chart. cumul=386 (377+9=386)."
2026-03-28,29,7,393,direct,ALMA_MAR29_WEEKEND,"Daily=7 from bar chart. cumul=393 CONFIRMED anchor from weekend update pie chart ('Total Attack Waves Since War Began: 393'). Check: 9+7=16=393−377 ✓"
